stateabb,ccode,leadid,leader,sdate,smonth,syear,emonth,eyear
NEW,920,A2.9-9031,Holyoake,20,9,1957,12,1957
NEW,920,A2.9-9034,Nash,12,12,1957,12,1960
NEW,920,A2.9-9037,Holyoake,12,12,1960,2,1972
NEW,920,A2.9-9040,Marshall,7,2,1972,12,1972
NEW,920,A2.9-9043,Kirk,8,12,1972,8,1974
NEW,920,A2.9-9046,Rowling,6,9,1974,12,1975
NEW,920,A2.9-9049,Muldoon,12,12,1975,7,1984
NEW,920,A2.9-9052,Lange,26,7,1984,8,1989
NEW,920,A2.9-9055,Palmer,8,8,1989,9,1990
NEW,920,A2.9-9058,Moore,4,9,1990,10,1990
NEW,920,A2.9-9061,Bolger,27,10,1990,12,1997
NEW,920,A2.9-9064,Shipley,8,12,1997,12,1999
NEW,920,A2.9-9067,Clark,10,12,1999,11,2008
NEW,920,A3.0-220,John Key,19,11,2008,,
SOL,940,A2.9-9070,Kenilorea,7,7,1978,8,1981
SOL,940,A2.9-9073,Mamaloni,31,8,1981,11,1984
SOL,940,A2.9-9076,Kenilorea,19,11,1984,12,1986
SOL,940,A2.9-9079,Alebua,1,12,1986,3,1989
SOL,940,A2.9-9082,Mamaloni,28,3,1989,6,1993
SOL,940,A2.9-9085,Hilly,18,6,1993,10,1994
SOL,940,A2.9-9088,Mamaloni,31,10,1994,8,1997
SOL,940,A2.9-9091,Ulufa'alu,27,8,1997,6,2000
SOL,940,A2.9-9094,Sogavare,30,6,2000,12,2001
SOL,940,A2.9-9097,Kemakeza,17,12,2001,4,2006
SOL,940,A3.0-221,Rini,20,4,2006,5,2006
SOL,940,A3.0-222,Sogavare,4,5,2006,12,2007
SOL,940,A3.0-223,Sikua,20,12,2007,8,2010
SOL,940,A3.0-224,Danny Philip,25,8,2010,11,2011
SOL,940,A3.0-225,Darcy Lilo,16,11,2011,12,2014
SOL,940,cb-940-1,Sogavare,9,12,2014,,
FIJ,950,A2.9-9100,Mara,10,10,1970,4,1987
FIJ,950,A2.9-9103,Bavadra,13,4,1987,5,1987
FIJ,950,A2.9-9106,Rabuka,14,5,1987,12,1987
FIJ,950,A2.9-9109,Mara,5,12,1987,6,1992
FIJ,950,A2.9-9112,Rabuka,2,6,1992,5,1999
FIJ,950,A2.9-9115,Chaudhry,19,5,1999,5,2000
FIJ,950,A2.9-9118,Ratu Josefa Iloilo,27,5,2000,5,2000
FIJ,950,A2.9-9121,Bainimarama,29,5,2000,7,2000
FIJ,950,A2.9-9124,Laisenia Qarase,14,7,2000,12,2006
FIJ,950,A3.0-226,Senilagakali,5,12,2006,1,2007
FIJ,950,A3.0-227,Bainimarama,5,1,2007,,
